Filename,Model,Confidence,WER,Fuzzy WER
02-19188-01.txt,AssemblyAI,0.980737,0.1351,0.1081
02-19188-01.txt,Gladia,0.9004,0.6486,0.6486
02-19188-01.txt,Speechmatics,0.9767,0.2432,0.0811
02-19188-01.txt,Deepgram,0.9921875,0.1351,0.0811
02-19188-01.txt,ElevenLabs,0.0,0.1622,0.1081
01-09011-02.txt,AssemblyAI,0.9640963,0.3409,0.25
01-09011-02.txt,Gladia,0.9123,0.6364,0.6136
01-09011-02.txt,Speechmatics,0.9871,0.3409,0.1818
01-09011-02.txt,Deepgram,0.9951172,0.25,0.1591
01-09011-02.txt,ElevenLabs,0.0,0.2727,0.2273
01-08967-01.txt,AssemblyAI,0.96702975,0.2667,0.1556
01-08967-01.txt,Gladia,0.9193,0.4222,0.3778
01-08967-01.txt,Speechmatics,0.9894,0.2889,0.1333
01-08967-01.txt,Deepgram,1.0,0.2444,0.1778
01-08967-01.txt,ElevenLabs,0.0,0.2889,0.1778
02-12280-01.txt,AssemblyAI,0.95178884,0.3158,0.2895
02-12280-01.txt,Gladia,0.8408,0.4474,0.4474
02-12280-01.txt,Speechmatics,0.995,0.2368,0.1579
02-12280-01.txt,Deepgram,0.98291016,0.3158,0.2632
02-12280-01.txt,ElevenLabs,0.0,0.2895,0.2632
02-18724-01.txt,AssemblyAI,0.96469253,0.2727,0.1515
02-18724-01.txt,Gladia,0.7558,0.5455,0.5152
02-18724-01.txt,Speechmatics,0.9747,0.2121,0.0909
02-18724-01.txt,Deepgram,0.9951172,0.2727,0.1818
02-18724-01.txt,ElevenLabs,0.0,0.3333,0.1212
01-12109-02.txt,AssemblyAI,0.97984153,0.1765,0.1765
01-12109-02.txt,Gladia,0.8863,0.5588,0.5294
01-12109-02.txt,Speechmatics,0.9916,0.2059,0.0882
01-12109-02.txt,Deepgram,0.9980469,0.1471,0.1176
01-12109-02.txt,ElevenLabs,0.0,0.4412,0.1471
02-19776-01.txt,AssemblyAI,0.9768776,0.3016,0.1746
02-19776-01.txt,Gladia,0.8187,0.6508,0.5714
02-19776-01.txt,Speechmatics,0.971,0.4127,0.254
02-19776-01.txt,Deepgram,0.9980469,0.3968,0.2857
02-19776-01.txt,ElevenLabs,0.0,0.3968,0.2857
01-10679-02.txt,AssemblyAI,0.9718084,0.1786,0.1429
01-10679-02.txt,Gladia,0.9195,0.6786,0.5714
01-10679-02.txt,Speechmatics,0.9877,0.25,0.1429
01-10679-02.txt,Deepgram,1.0,0.1429,0.1071
01-10679-02.txt,ElevenLabs,0.0,0.25,0.1786
02-12235-01.txt,AssemblyAI,0.95500284,0.4545,0.3636
02-12235-01.txt,Gladia,0.874,0.8182,0.697
02-12235-01.txt,Speechmatics,0.9909,0.4545,0.2727
02-12235-01.txt,Deepgram,0.984375,0.3636,0.303
02-12235-01.txt,ElevenLabs,0.0,0.5758,0.303
01-09599-01.txt,AssemblyAI,0.94759494,0.3721,0.2791
01-09599-01.txt,Gladia,0.8507,0.7442,0.6977
01-09599-01.txt,Speechmatics,0.9826,0.3023,0.2093
01-09599-01.txt,Deepgram,0.98535156,0.3953,0.3256
01-09599-01.txt,ElevenLabs,0.0,0.2558,0.2326
02-17793-01.txt,AssemblyAI,0.95057946,0.2121,0.1515
02-17793-01.txt,Gladia,0.7595,0.8485,0.8485
02-17793-01.txt,Speechmatics,0.9906,0.3636,0.2121
02-17793-01.txt,Deepgram,0.9770508,0.2727,0.2121
02-17793-01.txt,ElevenLabs,0.0,0.4242,0.2424
02-19803-01.txt,AssemblyAI,0.95094717,0.5789,0.4737
02-19803-01.txt,Gladia,0.6218,0.8158,0.7895
02-19803-01.txt,Speechmatics,0.9803,0.5,0.4474
02-19803-01.txt,Deepgram,0.9199219,0.4737,0.3947
02-19803-01.txt,ElevenLabs,0.0,0.4737,0.2895
02-14267-01.txt,AssemblyAI,0.9491376,0.5833,0.5
02-14267-01.txt,Gladia,0.6094,0.6111,0.5556
02-14267-01.txt,Speechmatics,0.9733,0.2778,0.1667
02-14267-01.txt,Deepgram,0.94384766,0.4444,0.4167
02-14267-01.txt,ElevenLabs,0.0,0.4167,0.3611
01-09190-02.txt,AssemblyAI,0.9649957,0.4,0.3714
01-09190-02.txt,Gladia,0.7077,0.6857,0.6571
01-09190-02.txt,Speechmatics,0.9967,0.4857,0.4
01-09190-02.txt,Deepgram,0.9980469,0.3143,0.2857
01-09190-02.txt,ElevenLabs,0.0,0.3143,0.2857
02-12317-01.txt,AssemblyAI,0.9257141,0.359,0.3333
02-12317-01.txt,Gladia,0.6403,0.6667,0.641
02-12317-01.txt,Speechmatics,0.9858,0.3333,0.1795
02-12317-01.txt,Deepgram,0.99121094,0.359,0.3333
02-12317-01.txt,ElevenLabs,0.0,0.2821,0.1795
